2025-12-10 22:44:57,618 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0310 | loss 0.1649 | val@20 0.5662 | test@20 0.3737 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:45:05,204 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0315 | loss 0.1637 | val@20 0.5739 | test@20 0.3564 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:45:12,827 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0320 | loss 0.1627 | val@20 0.5316 | test@20 0.1874 | best 0.5826 (ep 270) | lr 0.002500
2025-12-10 22:45:20,381 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0325 | loss 0.1594 | val@20 0.5852 | test@20 0.3152 | best 0.5852 (ep 325) | lr 0.002500
2025-12-10 22:45:27,955 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0330 | loss 0.1581 | val@20 0.5680 | test@20 0.2927 | best 0.5852 (ep 325) | lr 0.002500
2025-12-10 22:45:35,514 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0335 | loss 0.1590 | val@20 0.5356 | test@20 0.3308 | best 0.5852 (ep 325) | lr 0.002500
2025-12-10 22:45:43,090 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0340 | loss 0.1575 | val@20 0.5050 | test@20 0.2652 | best 0.5852 (ep 325) | lr 0.002500
2025-12-10 22:45:50,720 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0345 | loss 0.1583 | val@20 0.5382 | test@20 0.2750 | best 0.5852 (ep 325) | lr 0.002500
2025-12-10 22:45:58,338 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0350 | loss 0.1577 | val@20 0.6241 | test@20 0.4446 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:05,951 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0355 | loss 0.1576 | val@20 0.6020 | test@20 0.3713 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:13,582 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0360 | loss 0.1572 | val@20 0.5927 | test@20 0.3505 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:21,189 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0365 | loss 0.1568 | val@20 0.5837 | test@20 0.2500 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:28,785 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0370 | loss 0.1570 | val@20 0.5715 | test@20 0.2436 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:36,351 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0375 | loss 0.1565 | val@20 0.5917 | test@20 0.2150 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:43,995 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0380 | loss 0.1563 | val@20 0.5339 | test@20 0.3331 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:51,603 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0385 | loss 0.1566 | val@20 0.5932 | test@20 0.2564 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:46:59,222 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0390 | loss 0.1547 | val@20 0.6046 | test@20 0.3219 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:47:06,937 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0395 | loss 0.1558 | val@20 0.5838 | test@20 0.2825 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:47:14,652 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0400 | loss 0.1558 | val@20 0.6198 | test@20 0.2507 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:47:22,337 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0405 | loss 0.1544 | val@20 0.6184 | test@20 0.3212 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:47:30,027 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0410 | loss 0.1549 | val@20 0.5806 | test@20 0.2917 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:47:37,827 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0415 | loss 0.1547 | val@20 0.6093 | test@20 0.2755 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:47:45,396 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0420 | loss 0.1540 | val@20 0.6107 | test@20 0.2550 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:47:52,959 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0425 | loss 0.1543 | val@20 0.6147 | test@20 0.2491 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:48:00,538 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0430 | loss 0.1532 | val@20 0.5938 | test@20 0.1895 | best 0.6241 (ep 350) | lr 0.002500
2025-12-10 22:48:08,157 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0435 | loss 0.1542 | val@20 0.6283 | test@20 0.2596 | best 0.6283 (ep 435) | lr 0.002500
2025-12-10 22:48:15,873 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0440 | loss 0.1530 | val@20 0.6230 | test@20 0.3448 | best 0.6283 (ep 435) | lr 0.002500
2025-12-10 22:48:23,517 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0445 | loss 0.1544 | val@20 0.5501 | test@20 0.1666 | best 0.6283 (ep 435) | lr 0.002500
2025-12-10 22:48:31,345 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0450 | loss 0.1528 | val@20 0.6133 | test@20 0.2377 | best 0.6283 (ep 435) | lr 0.002500
2025-12-10 22:48:38,955 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0455 | loss 0.1525 | val@20 0.5997 | test@20 0.3735 | best 0.6283 (ep 435) | lr 0.002500
2025-12-10 22:48:46,534 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0460 | loss 0.1537 | val@20 0.6104 | test@20 0.2852 | best 0.6283 (ep 435) | lr 0.002500
2025-12-10 22:48:54,103 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0465 | loss 0.1532 | val@20 0.6457 | test@20 0.3760 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:01,687 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0470 | loss 0.1529 | val@20 0.6135 | test@20 0.3729 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:09,308 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0475 | loss 0.1534 | val@20 0.6198 | test@20 0.2520 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:16,896 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0480 | loss 0.1536 | val@20 0.6114 | test@20 0.2655 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:24,518 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0485 | loss 0.1523 | val@20 0.6225 | test@20 0.2813 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:32,092 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0490 | loss 0.1517 | val@20 0.6388 | test@20 0.2624 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:39,671 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0495 | loss 0.1522 | val@20 0.6161 | test@20 0.3261 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:47,708 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0500 | loss 0.1511 | val@20 0.6322 | test@20 0.2772 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:49:55,550 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0505 | loss 0.1528 | val@20 0.6423 | test@20 0.1785 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:03,563 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0510 | loss 0.1515 | val@20 0.6181 | test@20 0.3002 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:11,333 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0515 | loss 0.1514 | val@20 0.6101 | test@20 0.2099 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:18,900 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0520 | loss 0.1502 | val@20 0.6107 | test@20 0.3143 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:26,548 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0525 | loss 0.1498 | val@20 0.6172 | test@20 0.2321 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:34,168 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0530 | loss 0.1507 | val@20 0.5643 | test@20 0.1915 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:42,045 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0535 | loss 0.1501 | val@20 0.6284 | test@20 0.2021 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:49,671 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0540 | loss 0.1498 | val@20 0.6157 | test@20 0.2323 | best 0.6457 (ep 465) | lr 0.002500
2025-12-10 22:50:57,255 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0545 | loss 0.1503 | val@20 0.6465 | test@20 0.3540 | best 0.6465 (ep 545) | lr 0.002500
2025-12-10 22:51:04,844 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0550 | loss 0.1504 | val@20 0.6119 | test@20 0.3211 | best 0.6465 (ep 545) | lr 0.002500
2025-12-10 22:51:12,533 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0555 | loss 0.1499 | val@20 0.6139 | test@20 0.3511 | best 0.6465 (ep 545) | lr 0.002500
2025-12-10 22:51:20,109 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0560 | loss 0.1498 | val@20 0.6348 | test@20 0.2592 | best 0.6465 (ep 545) | lr 0.001250
2025-12-10 22:51:28,059 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0565 | loss 0.1487 | val@20 0.6323 | test@20 0.2472 | best 0.6465 (ep 545) | lr 0.001250
2025-12-10 22:51:35,623 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0570 | loss 0.1475 | val@20 0.5827 | test@20 0.3567 | best 0.6465 (ep 545) | lr 0.001250
2025-12-10 22:51:43,205 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0575 | loss 0.1477 | val@20 0.6052 | test@20 0.2726 | best 0.6465 (ep 545) | lr 0.001250
2025-12-10 22:51:50,802 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0580 | loss 0.1464 | val@20 0.6489 | test@20 0.4244 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:51:58,373 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0585 | loss 0.1476 | val@20 0.5974 | test@20 0.2984 | best 0.6489 (ep 580) | lr 0.001250
