INFO:root:Dataset: 4267 nodes, 2135822 edges
INFO:root:Train edges: 1067911
INFO:root:Valid edges: 133489 pos, 101882 neg
INFO:root:Test edges: 133489 pos, 95599 neg
INFO:root:Loading external features...
INFO:src.data.external_features:Loading cached Morgan features from data/morgan_features.pt
INFO:src.data.external_features:  Morgan fingerprints: 2048 dims
INFO:src.data.external_features:Loaded PubChem features: shape=(4267, 9)
INFO:src.data.external_features:  PubChem properties: 9 dims
INFO:src.data.external_features:Loaded ChemBERTa features: shape=torch.Size([4267, 768])
INFO:src.data.external_features:  ChemBERTa embeddings: 768 dims
INFO:src.data.external_features:Loaded drug-target features: shape=torch.Size([4267, 229])
INFO:src.data.external_features:  Drug-target features: 229 dims
INFO:src.data.external_features:Combined features: 3054 dims total
INFO:root:Loaded features: {'morgan': 2048, 'pubchem': 9, 'chemberta': 768, 'drug_targets': 229}
INFO:root:Total feature dimension: 3054
INFO:root:================================================================================
INFO:root:Model Configuration:
INFO:root:  architecture: GCN + MLP
INFO:root:  num_layers: 2
INFO:root:  hidden_channels: 256
INFO:root:  dropout: 0.5
INFO:root:  fusion: concat
INFO:root:  external_features: ['morgan', 'pubchem', 'chemberta', 'drug_targets']
INFO:root:Training Configuration:
INFO:root:  epochs: 2000
INFO:root:  lr: 0.005
INFO:root:  batch_size: 65536
INFO:root:  eval_steps: 5
INFO:root:  runs: 1
INFO:root:================================================================================
INFO:root:[GCN] Epoch 0335 | loss 0.1686 | val@20 0.6081 | test@20 0.4529 | best 0.6081 (ep 335)
INFO:root:[GCN] Epoch 0340 | loss 0.1709 | val@20 0.4647 | test@20 0.3218 | best 0.6081 (ep 335)
INFO:root:[GCN] Epoch 0345 | loss 0.1694 | val@20 0.5350 | test@20 0.4046 | best 0.6081 (ep 335)
INFO:root:[GCN] Epoch 0350 | loss 0.1712 | val@20 0.6142 | test@20 0.4341 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0355 | loss 0.1687 | val@20 0.5032 | test@20 0.2559 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0360 | loss 0.1766 | val@20 0.5374 | test@20 0.3431 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0365 | loss 0.1706 | val@20 0.5517 | test@20 0.4321 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0370 | loss 0.1711 | val@20 0.5965 | test@20 0.6041 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0375 | loss 0.1712 | val@20 0.6025 | test@20 0.5006 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0380 | loss 0.1666 | val@20 0.5771 | test@20 0.5600 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0385 | loss 0.1670 | val@20 0.5256 | test@20 0.4362 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0390 | loss 0.1665 | val@20 0.5050 | test@20 0.3525 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0395 | loss 0.1643 | val@20 0.6021 | test@20 0.3514 | best 0.6142 (ep 350)
INFO:root:[GCN] Epoch 0400 | loss 0.1691 | val@20 0.6188 | test@20 0.3943 | best 0.6188 (ep 400)
INFO:root:[GCN] Epoch 0405 | loss 0.1668 | val@20 0.6297 | test@20 0.4975 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0410 | loss 0.1645 | val@20 0.5684 | test@20 0.3530 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0415 | loss 0.1662 | val@20 0.5642 | test@20 0.3905 | best 0.6297 (ep 405)
